time,title,impact,country
2024-01-28T09:30:00,US Non-Farm Payroll,HIGH,USA
2024-01-28T14:00:00,FOMC Meeting Decision,HIGH,USA
2024-01-29T10:00:00,Brazil SELIC Decision,HIGH,BR
2024-01-29T11:00:00,Brazil Inflation (IPCA),HIGH,BR
2024-01-30T10:30:00,US Jobs Report,HIGH,USA
2024-01-30T14:00:00,ECB Interest Rate Decision,HIGH,EUR
2024-01-31T09:00:00,Australia GDP,MEDIUM,AU
2024-01-31T10:00:00,Brazil Retail Sales,MEDIUM,BR
2024-02-01T14:00:00,US Jobless Claims,MEDIUM,USA
2024-02-02T10:00:00,Germany Factory Orders,MEDIUM,DE
2024-02-05T09:30:00,US ADP Employment,MEDIUM,USA
2024-02-05T14:00:00,US Fed Funds Futures,LOW,USA
2024-02-06T10:00:00,Brazil Trade Balance,MEDIUM,BR
2024-02-06T14:00:00,ECB Monetary Policy,HIGH,EUR
2024-02-07T09:00:00,Australia Employment Change,MEDIUM,AU
2024-02-07T10:00:00,Brazil Services PMI,LOW,BR
2024-02-08T14:00:00,US Consumer Sentiment,MEDIUM,USA
2024-02-09T10:00:00,Germany Retail Sales,MEDIUM,DE
2024-02-12T09:30:00,US Inflation (CPI),HIGH,USA
2024-02-12T14:00:00,ECB Core Inflation,MEDIUM,EUR
2024-02-13T10:00:00,Brazil IP Production,MEDIUM,BR
2024-02-14T14:00:00,Bank of England Rate Decision,HIGH,GBP
2024-02-15T09:00:00,Australia Inflation (CPI),HIGH,AU
2024-02-15T10:00:00,Brazil Consumer Confidence,MEDIUM,BR
2024-02-16T10:30:00,US Consumer Price Index,HIGH,USA
2024-02-19T14:00:00,FOMC Statement,HIGH,USA
2024-02-20T10:00:00,ECB Governing Council,HIGH,EUR
2024-02-21T09:00:00,Australia Employment,MEDIUM,AU
2024-02-21T10:00:00,Brazil Unemployment Rate,MEDIUM,BR
2024-02-22T14:00:00,US Consumer Confidence,MEDIUM,USA
2024-02-23T10:00:00,Germany Manufacturing PMI,MEDIUM,DE
2024-02-26T09:30:00,US NFP Forecast,HIGH,USA
2024-02-27T10:00:00,Brazil Central Bank Meeting,HIGH,BR
2024-02-28T14:00:00,ECB Economic Bulletin,MEDIUM,EUR
2024-02-29T10:00:00,Australia Retail Sales,MEDIUM,AU
2024-03-01T09:00:00,US Non-Farm Payroll,HIGH,USA
2024-03-01T14:00:00,FOMC Decision,HIGH,USA
2024-03-04T10:00:00,Brazil SELIC Announcement,HIGH,BR
2024-03-04T11:00:00,Brazil Inflation Data,HIGH,BR
2024-03-05T10:30:00,US Jobless Claims,MEDIUM,USA
2024-03-06T14:00:00,ECB Interest Rate,HIGH,EUR
2024-03-07T09:00:00,Australia GDP,MEDIUM,AU
2024-03-07T10:00:00,Brazil Trade Data,MEDIUM,BR
2024-03-08T14:00:00,US Fed Speaker,LOW,USA
2024-03-11T10:00:00,Germany Industrial Production,MEDIUM,DE
2024-03-12T09:30:00,US Consumer Sentiment,MEDIUM,USA
2024-03-12T14:00:00,ECB Economic Survey,MEDIUM,EUR
2024-03-13T10:00:00,Brazil Services PMI,LOW,BR
2024-03-14T14:00:00,Bank of England MPC,HIGH,GBP
